ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB
241	3	1	2	36	9	1	12
242	4	1	1	1	7	1	38
243	2	1	2	1	10	4	25
244	2	5	1	1	1	1	24
245	2	1	1	1	2	1	13
246	2	1	1	45	1	1	76
247	10	7	2	2	3	25	4
248	4	1	1	1	9	4	4
249	2	1	44	1	16	4	66
250	16	18	45	44	55	22	67
251	2	35	2	35	56	4	19
252	2	5	1	1	9	1	6
253	2	1	1	1	9	1	13
254	4	9	2	1	13	4	16
255	16	36	21	40	57	22	78
256	2	1	2	1	13	1	16
257	18	22	25	22	25	20	51
258	3	3	1	1	1	1	79
259	2	3	2	1	1	1	18
260	2	1	1	46	9	1	12
261	2	1	1	1	4	27	12
262	2	1	1	1	10	4	43
263	2	3	1	20	7	1	16
264	16	24	21	27	58	22	80
265	3	1	1	1	1	1	1
266	2	1	1	13	16	1	4
267	3	5	20	1	16	1	12
268	2	1	2	1	7	1	81
269	12	1	1	2	5	1	18
270	3	3	1	1	1	1	23
271	2	9	2	1	13	1	81
272	2	1	5	1	7	4	56
273	3	4	6	1	7	4	4
274	2	1	2	1	4	31	19
275	4	2	1	1	9	1	83
276	2	1	1	1	1	4	18
277	3	1	1	1	1	1	43
278	4	1	1	1	12	1	4
279	2	2	1	47	1	4	43
280	2	1	2	1	10	4	46
281	7	1	5	46	1	1	84
282	29	24	46	48	44	22	85
283	18	22	18	22	59	13	51
284	30	24	21	49	52	22	67
285	16	24	21	27	54	22	67
286	2	3	1	1	7	1	2
287	3	1	1	1	3	5	1
288	2	3	13	2	1	4	25
289	4	5	1	1	12	4	46
290	2	1	1	37	10	1	86
291	4	3	1	1	2	1	13
292	2	1	2	1	1	1	4
293	3	37	1	1	10	4	4
294	2	1	2	1	4	4	87
295	2	1	2	1	60	25	19
296	2	1	1	3	1	4	88
297	31	1	1	37	3	27	64
298	2	1	2	1	1	1	7
299	2	10	1	1	56	24	31
300	2	1	19	1	9	4	34
301	4	1	2	2	1	10	43
302	23	31	2	1	9	4	10
303	10	1	2	26	10	4	9
304	2	1	1	1	10	4	90
305	2	1	2	3	8	1	39
306	2	1	1	1	66	1	6
307	4	1	2	52	1	1	7
308	10	1	2	20	9	4	23
309	2	9	2	1	13	1	10
310	2	6	2	1	16	4	66
311	2	40	1	2	7	1	91
312	16	18	21	53	67	33	67
313	10	3	1	1	9	10	9
314	2	1	5	2	7	4	23
315	2	35	2	35	56	24	92
316	10	1	2	1	9	27	92
317	10	1	2	1	9	27	18
318	16	24	21	31	68	22	67
319	2	1	2	1	4	1	87
320	3	6	2	1	7	4	41
321	4	16	2	1	28	3	40
322	2	1	5	1	26	4	12
323	2	1	1	1	9	1	93
324	1	6	1	1	1	4	1
325	14	3	1	1	4	4	4
326	1	1	1	1	1	1	64
327	2	1	1	1	10	1	19
334	18	22	18	22	25	37	51
336	2	1	1	1	72	4	4
337	2	1	11	1	1	1	13
338	38	19	53	58	73	21	52
339	39	15	54	59	74	38	99
340	3	3	1	1	1	1	18
341	2	1	2	60	7	1	101
342	2	1	1	1	1	1	100
343	2	6	2	1	9	27	102
344	16	24	21	27	47	22	103
345	2	1	5	2	4	4	12
346	2	20	1	1	26	1	4
347	16	24	21	27	47	22	67
348	2	1	20	1	12	15	16
349	17	19	53	58	51	18	72
350	3	28	11	18	71	20	73
351	2	9	2	7	13	1	16
352	1	1	1	2	1	1	1
353	3	9	47	1	13	1	16
354	10	1	3	1	9	27	4
355	16	45	21	27	47	22	67
356	18	22	55	16	31	20	51
357	16	24	21	27	54	22	45
358	16	45	21	27	44	22	85
359	10	1	2	1	9	27	6
360	16	24	21	53	47	17	67
361	16	24	21	32	47	22	67
362	16	24	21	27	75	22	71
363	16	18	21	27	53	22	67
364	2	1	1	2	11	4	31
365	16	18	57	62	76	22	104
366	16	24	21	27	77	40	105
367	18	15	26	16	11	13	106
368	16	18	21	38	78	22	67
369	40	22	56	61	11	39	99
370	41	47	1	14	1	1	12
371	2	46	1	1	9	1	18
372	2	1	2	1	1	15	4
373	9	4	2	26	1	1	27
374	2	3	58	37	10	27	9
375	43	1	2	1	10	4	13
376	2	6	1	3	8	1	27
377	10	20	2	1	9	11	12
378	2	1	1	1	7	4	65
379	44	3	1	1	1	1	79
380	2	1	1	1	1	4	19
381	10	6	1	9	12	42	9
382	2	1	3	1	1	4	107
383	2	6	1	3	8	1	18
384	18	23	56	63	80	43	51
385	2	20	1	1	4	1	4
386	16	18	43	31	42	22	45
387	45	18	21	49	26	22	108
388	16	24	59	27	29	22	105
389	46	18	21	27	81	22	105
390	45	18	21	49	82	22	105
391	10	5	1	4	6	4	4
392	3	4	6	1	7	4	40
393	4	1	1	1	9	5	9
394	2	9	2	1	13	1	82
395	3	1	2	4	1	1	4
396	47	1	2	3	1	1	48
397	2	1	1	1	21	44	9
398	2	1	1	1	7	1	10
399	2	1	11	1	10	10	12
400	2	6	1	5	10	1	6
401	2	6	61	5	4	1	6
402	2	1	2	4	9	1	109
403	2	1	2	1	1	7	13
404	2	1	2	1	12	1	2
405	2	1	62	3	10	4	110
406	4	5	1	2	9	1	47
407	3	3	1	1	1	45	18
408	2	3	19	1	9	1	38
409	5	1	11	1	7	11	24
410	4	1	2	37	21	4	30
411	2	1	11	42	26	4	18
412	2	1	2	1	9	1	112
413	2	6	1	3	8	1	113
414	18	22	26	63	85	20	51
415	45	24	21	27	84	22	67
416	2	38	1	1	7	4	89
417	10	3	2	8	7	1	54
418	3	3	1	1	1	46	79
419	2	1	1	1	1	4	35
420	2	1	65	2	5	1	36
421	18	22	26	63	85	20	115
422	2	3	1	1	4	4	111
423	2	9	2	65	13	1	16
424	16	18	45	44	87	22	103
425	42	22	63	22	86	38	114
426	18	15	18	64	11	13	50
427	2	4	1	1	7	1	46
428	4	1	1	1	14	7	18
429	2	1	2	1	9	1	116
430	2	1	33	1	1	4	117
431	2	1	1	1	1	1	1
432	4	1	1	2	7	4	4
433	2	1	2	60	7	1	7
434	2	3	2	4	9	4	118
435	2	1	2	1	1	48	17
436	2	1	2	1	3	1	18
437	3	3	1	1	1	1	31
438	3	4	6	1	1	4	4
439	18	22	26	22	79	37	99
440	17	19	66	39	88	18	119
441	4	1	2	1	1	7	23
442	10	20	2	1	9	11	14
443	2	1	1	4	89	4	4
444	2	1	1	1	9	49	12
445	2	3	6	1	9	7	111
446	17	19	28	39	236	21	315
447	16	49	30	38	90	22	45
448	49	3	2	2	6	4	4
449	2	1	2	1	10	1	120
450	2	1	2	1	91	1	16
451	2	1	1	1	10	4	122
452	4	1	2	2	12	4	121
453	2	50	1	1	21	4	6
454	16	24	21	27	29	22	105
455	5	1	5	1	7	11	112
456	12	9	2	1	13	1	16
457	2	1	2	9	4	4	87
458	2	1	2	2	10	4	9
459	2	3	6	1	9	7	2
460	2	1	20	1	1	1	19
461	3	1	13	34	63	1	64
462	2	1	1	6	1	4	12
463	2	1	4	1	7	6	19
464	2	5	2	1	26	1	2
465	2	3	2	2	9	4	4
466	2	1	2	1	10	50	120
467	16	24	21	27	76	22	67
468	16	24	57	67	92	22	104
469	2	1	2	1	10	1	4
470	2	1	11	1	13	4	12
471	3	1	1	68	4	1	39
472	7	1	1	1	12	1	123
473	2	1	2	69	9	4	40
474	2	1	67	1	26	4	12
475	16	24	21	27	47	22	124
476	18	22	26	22	93	37	99
477	18	22	68	70	94	20	51
478	14	1	2	1	95	1	1
479	4	51	1	3	1	1	38
480	18	22	55	22	11	13	51
481	2	1	2	5	7	1	81
482	2	3	1	26	1	4	10
483	7	1	5	1	7	11	24
484	4	1	1	1	3	27	4
485	2	1	1	1	7	1	12
486	50	19	66	20	97	18	126
487	2	1	2	50	1	4	17
488	42	22	26	22	79	41	51
489	18	22	26	71	98	52	51
490	4	1	1	1	21	1	6
491	51	1	5	1	9	4	13
492	4	7	1	1	9	4	17
493	2	1	70	1	12	1	127
494	2	3	70	1	1	1	70
495	4	1	1	1	9	1	35
496	2	1	1	6	7	4	12
497	2	1	5	1	9	8	59
498	52	1	20	1	1	1	47
499	2	1	5	2	7	4	4
500	2	6	1	72	4	4	64
501	2	3	1	1	1	4	42
502	2	53	3	1	10	4	18
503	2	1	19	1	10	4	4
504	2	1	1	1	3	3	18
505	7	1	5	1	1	1	84
506	3	6	4	1	1	1	30
507	2	3	1	1	1	4	38
508	4	9	2	36	13	2	43
509	38	19	69	39	96	51	126
510	2	52	2	1	7	1	4
511	2	1	2	1	1	1	112
512	54	3	1	1	1	1	79
513	2	1	1	6	101	1	129
514	2	1	1	1	8	1	9
515	2	1	1	1	1	1	4
516	5	1	1	12	7	1	10
517	10	1	2	1	9	27	4
518	2	3	1	1	7	4	87
519	45	18	21	49	82	22	108
520	2	1	19	1	10	4	37
521	2	1	11	20	1	1	13
522	1	1	2	1	9	27	6
523	10	1	19	1	9	27	4
524	3	1	1	1	1	1	4
525	4	4	1	1	48	1	22
526	38	19	53	58	73	21	130
527	16	24	21	27	41	22	75
528	32	5	1	1	9	4	18
529	4	1	1	6	64	5	14
530	2	39	2	1	1	4	24
531	2	1	2	1	7	1	10
532	2	3	1	1	1	4	47
533	16	24	48	51	65	32	131
534	2	1	1	2	61	4	132
535	2	1	38	37	62	4	18
536	16	18	21	27	39	22	75
537	6	3	1	1	12	4	4
538	2	1	2	20	9	1	14
539	29	24	46	27	50	22	67
540	2	1	71	1	3	3	18
541	4	1	2	1	1	1	4
542	2	1	37	2	102	1	19
543	10	1	72	1	9	27	6
544	17	55	73	39	103	20	52
545	2	3	6	1	9	53	4
546	2	1	1	20	61	4	133
547	2	3	75	1	9	7	4
548	55	1	1	1	9	4	12
549	16	18	21	27	47	22	134
550	4	1	1	2	12	4	100
551	3	1	1	1	9	4	135
552	56	1	2	1	10	1	136
553	4	1	2	1	16	1	38
554	57	3	1	1	1	1	79
555	61	6	1	1	1	1	1
556	2	1	1	26	12	15	138
557	4	5	1	1	9	1	25
558	4	1	6	12	1	2	12
559	2	4	13	26	12	1	141
560	2	3	1	1	21	4	4
561	2	1	76	37	1	4	19
562	2	5	1	1	10	1	139
563	2	5	1	1	1	4	8
564	2	1	2	1	7	1	14
565	3	3	1	1	9	1	38
566	15	1	1	2	5	23	36
567	2	1	77	1	17	4	42
568	12	1	78	2	5	1	36
569	2	3	1	1	1	1	48
570	2	1	2	37	8	1	15
571	17	19	79	20	108	55	142
572	3	3	1	1	1	1	143
573	2	1	5	1	9	4	18
574	2	56	1	1	4	4	4
575	2	3	1	1	109	56	144
576	2	3	1	1	7	4	18
577	2	5	2	2	7	4	10
578	3	3	2	1	1	10	4
579	1	1	6	1	1	4	1
580	3	4	6	1	9	4	38
581	58	24	43	40	106	29	67
582	18	22	63	22	107	38	114
583	18	22	25	63	11	20	51
584	4	1	2	1	1	7	4
585	4	1	2	1	7	4	12
586	2	1	11	1	9	8	112
587	2	5	2	52	1	1	7
588	2	1	1	1	9	1	23
589	2	1	1	1	4	1	6
590	2	1	13	3	7	4	25
591	2	3	1	1	7	1	19
592	2	3	6	1	9	4	13
593	2	1	2	1	9	1	16
594	16	24	80	27	92	22	67
595	16	24	21	27	55	22	67
596	16	24	21	27	41	22	67
597	16	24	21	27	47	22	105
598	16	18	21	78	87	22	75
599	16	24	21	27	111	22	45
600	16	1	1	17	9	4	42
601	16	24	21	53	47	22	73
602	2	3	81	1	1	4	56
603	63	1	2	77	7	15	43
604	17	57	69	39	110	21	126
605	4	35	2	1	112	7	70
606	2	4	1	1	4	27	8
607	2	1	2	80	10	1	155
608	2	2	2	1	3	3	1
609	3	6	1	3	1	1	15
610	4	5	1	29	1	4	23
611	5	1	5	1	7	11	24
612	16	18	22	27	55	22	67
613	18	22	25	59	11	61	147
614	4	40	1	1	1	58	151
615	16	18	21	38	47	22	152
616	16	18	30	27	68	59	67
617	2	9	1	1	13	1	2
618	2	1	1	1	116	1	13
619	64	24	21	27	47	22	67
620	42	22	85	64	114	13	149
621	16	58	21	27	47	22	150
622	17	19	39	20	34	18	52
623	17	19	39	20	117	18	156
624	2	1	1	1	9	1	157
625	50	19	82	20	113	18	148
626	3	1	1	1	27	5	25
627	1	6	13	1	1	1	1
628	2	60	11	1	4	8	24
629	2	3	87	1	12	1	26
630	2	1	1	1	72	62	4
631	2	1	1	1	9	4	4
632	1	1	4	1	3	5	19
633	10	1	88	1	12	1	38
634	2	1	1	1	118	4	61
635	18	22	18	74	25	54	51
636	2	5	1	1	4	1	4
637	4	3	1	1	16	25	2
638	42	22	26	22	115	13	51
639	16	18	21	27	54	22	85
640	16	24	1	41	47	22	103
641	16	18	21	27	39	22	67
642	16	24	21	24	47	22	67
643	2	3	6	75	9	7	137
644	18	22	26	22	115	13	158
645	2	5	1	1	9	1	10
646	2	4	1	5	4	1	6
647	2	6	1	5	4	1	38
648	2	4	1	5	4	1	38
649	2	1	1	5	4	1	6
650	54	9	1	1	1	1	79
651	2	1	65	1	9	11	18
652	2	3	2	1	119	4	18
653	2	1	1	8	9	4	12
654	2	1	1	1	10	4	23
655	1	1	1	1	1	1	23
656	4	4	1	1	7	4	4
657	2	1	2	1	10	4	4
658	3	1	1	1	3	3	159
659	66	1	65	1	9	11	18
660	2	1	2	1	4	1	25
661	4	3	1	36	9	10	14
662	16	24	21	27	52	17	67
663	4	1	62	3	10	4	110
664	52	1	20	2	1	1	47
665	1	9	2	1	13	1	82
666	2	1	2	2	7	1	10
667	2	1	2	1	9	1	14
668	17	19	82	81	122	63	148
669	68	3	1	1	10	1	19
670	2	1	1	20	3	31	161
671	69	19	90	20	125	18	9
672	70	19	53	20	126	18	163
673	18	3	18	63	127	13	51
674	3	1	1	1	4	4	4
675	3	4	6	1	7	4	67
676	2	1	1	1	128	1	4
677	3	4	6	1	1	4	38
678	2	3	1	1	109	56	18
679	2	1	1	82	1	4	19
680	2	1	1	1	1	4	12
681	16	24	60	33	83	40	67
682	3	1	2	1	27	1	39
683	4	3	1	1	1	4	79
684	2	1	1	17	9	1	23
685	2	1	2	1	3	4	25
686	4	1	1	3	3	5	54
687	2	3	10	1	20	4	110
688	4	1	2	26	4	1	30
689	2	3	1	1	1	1	70
690	2	3	1	1	1	1	4
691	2	3	1	1	1	4	56
692	2	1	2	1	1	4	42
693	2	1	2	1	10	3	19
694	2	1	3	1	26	1	2
695	16	24	21	53	104	17	67
696	17	19	66	39	105	21	145
697	60	18	21	27	53	17	67
698	16	18	21	27	47	17	146
699	59	24	21	1	53	22	67
700	10	1	17	37	12	1	9
701	2	1	2	2	7	1	81
702	2	1	2	1	7	4	19
703	16	1	2	1	7	1	7
704	2	1	1	1	9	1	20
705	18	23	18	61	11	41	51
706	2	4	1	1	7	4	4
707	2	1	91	1	9	4	12
708	2	1	5	26	7	4	23
709	1	1	1	1	1	1	4
710	16	24	21	27	120	33	124
711	2	61	2	2	6	4	4
712	16	62	21	27	47	22	67
713	67	19	39	20	121	21	52
714	2	3	2	2	6	4	160
715	3	5	2	1	1	1	34
716	71	1	1	2	16	4	164
717	2	1	1	26	9	64	13
718	16	24	21	40	47	65	45
719	10	1	5	1	129	11	24
720	2	1	1	1	130	4	4
721	2	1	11	1	9	8	43
722	3	3	1	1	13	1	16
723	2	3	2	2	131	4	4
724	3	1	2	1	10	1	19
725	16	24	21	38	132	66	75
726	2	9	2	1	13	1	4
727	2	9	2	1	7	1	16
728	1	1	1	46	1	1	4
729	72	45	36	27	76	29	67
730	2	1	33	1	1	4	56
731	3	3	1	83	1	1	4
732	2	3	2	1	7	4	56
733	73	9	2	1	13	1	16
734	18	15	26	22	94	13	165
735	17	19	28	20	113	21	166
736	42	22	55	22	11	13	167
737	2	5	1	1	1	4	4
738	38	63	92	84	133	18	148
739	2	9	2	1	13	1	12
740	18	22	18	85	134	37	51
741	16	18	93	27	41	22	45
742	2	1	2	4	1	1	12
743	2	3	2	1	6	4	4
744	3	3	1	1	1	45	79
745	54	3	1	1	1	67	79
746	2	5	94	2	7	1	10
747	3	3	1	1	1	68	4
748	1	1	1	1	1	1	168
749	18	23	26	61	11	38	169
750	2	6	1	3	8	1	4
751	3	3	1	1	1	46	4
752	2	6	1	37	4	1	6
753	14	1	2	1	135	4	12
754	11	3	2	2	6	4	4
755	4	1	1	1	25	1	35
756	2	9	1	1	13	1	10
757	3	3	1	1	1	1	22
758	2	1	1	1	7	1	19
759	2	1	1	6	7	1	4
760	2	1	71	1	4	3	18
761	17	55	96	20	138	18	162
762	16	24	43	76	92	22	67
763	62	45	30	27	36	22	45
764	17	19	1	39	34	18	153
765	42	22	63	63	86	13	154
766	3	5	95	1	13	1	12
767	60	24	21	53	54	22	172
768	16	1	21	38	47	60	103
769	16	3	2	1	1	1	18
770	2	1	1	2	10	4	4
771	16	24	21	62	137	33	67
772	2	1	1	1	1	33	36
773	16	64	21	53	50	4	171
774	2	1	1	17	4	16	4
775	2	3	1	1	1	4	18
776	2	1	2	1	2	1	2
777	10	6	1	9	12	12	29
778	2	1	2	52	1	1	4
779	74	1	1	2	5	1	36
780	2	65	1	1	10	1	31
781	2	6	1	3	140	1	56
782	1	1	2	1	1	1	1
783	4	1	7	80	9	1	12
784	2	1	1	1	27	5	4
785	2	1	2	69	10	27	19
786	2	1	4	34	1	1	12
787	3	1	13	34	20	10	64
788	2	4	2	1	7	1	12
789	25	10	1	1	20	1	22
790	28	18	21	40	38	22	67
791	2	1	1	37	9	4	64
792	2	7	1	26	1	4	4
793	4	1	1	1	9	4	12
794	4	35	19	1	16	1	2
795	43	22	26	22	86	13	165
796	4	3	6	1	9	4	22
797	2	22	1	3	8	1	4
798	3	1	2	1	7	1	4
799	2	6	1	3	26	1	3
800	2	1	2	4	9	4	14
801	9	4	1	1	1	1	27
802	2	1	2	1	10	1	81
803	2	1	5	1	10	4	42
804	2	1	2	1	1	4	13
805	9	1	1	1	1	1	27
806	2	1	1	1	89	1	44
807	2	1	1	3	26	1	77
808	16	1	1	1	9	4	12
809	2	1	21	27	47	4	67
810	2	28	1	9	1	4	12
811	18	2	26	59	11	13	147
812	4	1	1	1	89	1	44
813	2	1	2	4	9	1	19
814	4	1	2	1	10	4	13
815	2	1	2	1	7	1	12
816	18	22	18	22	32	20	51
817	2	6	61	5	26	1	10
818	43	1	1	1	10	4	13
819	1	4	35	1	10	4	14
820	18	1	26	23	31	13	49
821	2	3	1	1	13	1	16
822	9	30	2	1	1	1	27
823	2	1	2	1	12	1	26
824	18	22	18	22	79	41	51
825	2	1	2	1	10	4	8
826	2	2	1	1	3	3	19
827	2	3	2	1	9	1	14
828	2	1	1	26	1	1	54
829	2	2	1	1	1	3	3
830	2	1	2	1	10	4	173
831	2	1	1	1	10	1	18
832	2	1	1	1	12	70	174
833	3	3	1	1	1	1	12
834	2	1	2	1	7	1	25
835	2	1	2	1	10	1	57
836	25	33	1	26	10	1	56
837	29	24	21	27	44	22	175
838	16	24	21	49	47	22	176
839	3	1	1	1	9	4	177
840	2	1	1	1	7	1	9
841	18	15	64	59	11	13	51
842	18	67	26	63	142	1	169
843	17	19	66	39	141	18	119
844	2	3	2	26	1	1	43
845	2	1	2	1	4	4	2
846	2	1	97	1	9	4	13
847	2	1	1	6	7	1	129
848	16	24	30	32	90	22	178
849	2	1	1	1	3	27	4
850	16	24	21	1	92	17	67
851	18	22	26	71	6	52	4
852	18	22	18	22	139	69	179
853	18	22	18	23	134	13	180
854	75	1	4	37	12	25	39
855	3	3	1	1	1	1	26
856	16	18	21	27	39	22	105
857	2	35	2	35	56	24	19
858	2	1	1	1	4	4	1
859	3	3	1	1	1	1	1
860	2	3	1	1	9	4	10
861	2	3	1	80	9	4	10
862	2	1	1	1	4	4	2
863	2	5	2	1	1	1	1
864	3	3	1	1	1	1	2
865	18	22	98	64	143	38	49
866	2	9	2	1	1	1	4
867	2	1	99	6	1	1	129
868	54	3	1	1	1	46	79
869	2	1	2	1	148	4	46
870	2	6	1	1	147	1	31
871	2	6	1	14	149	4	9
872	2	1	100	1	7	5	181
873	14	1	2	1	7	4	182
874	4	1	1	1	7	1	22
875	2	1	2	1	10	4	19
876	6	3	1	1	12	1	110
877	59	24	21	78	54	22	67
878	2	5	1	1	144	1	4
879	2	1	1	1	145	1	9
